84140,Lapeyre Avignon Sud,43.916,4.874
85000,Lapeyre La Roche-Sur-Yon,46.712,-1.427
86000,Lapeyre Poitiers,46.616,0.35017
87222,Lapeyre Limoges,45.8096,1.32436
89470,Lapeyre Auxerre,47.8275,3.57819
91350,Lapeyre Grigny,48.6707,2.3913
91700,Lapeyre La Croix Blanche,48.6223,2.3607
91953,Lapeyre Les Ulis,48.6752,2.19657
92000,Lapeyre Nanterre,48.8952,2.18626
92100,Lapeyre Boulogne Billancourt,48.8346,2.24691
92230,Lapeyre Gennevilliers,48.934,2.31646
93302,Lapeyre Porte de la villette,48.905,2.382
93460,Lapeyre Pointe de Gournay,48.865,2.566
94110,Lapeyre Porte d'Orléans,48.8099,2.32679
94190,Lapeyre Pompadour,48.7577,2.44421
95220,Lapeyre La Patte D'Oie D'Herblay,49.0008,2.18207
