postcode,shopcode,flydist,distance,duration
2420,80440,63570,83387,3769
2430,80440,65155,73594,2832
2430,59309,58521,80154,2888
2430,51100,85691,100149,3572
2430,59160,93503,123162,4376
2440,80440,66103,81394,2993
2440,59309,67966,87954,3050
2440,51100,78812,107949,3733
2450,59309,40251,50884,2933
2450,59160,87153,107076,4910
2460,77100,33122,36433,2550
2460,60740,49546,62339,3558
2460,51100,63830,86661,3654
2470,77100,35492,52494,2487
2470,51100,57873,77834,3177
2470,60740,56022,67634,3743
2480,80440,58555,69004,3438
2480,59309,70103,94758,3896
2490,80440,56326,64372,2803
2490,59309,53590,78893,2960
2490,51100,97349,115629,4154
2500,59309,67634,91537,4401
2510,59309,41696,53219,3112
2510,51100,88986,112951,4907
2520,80440,61155,70218,3265
2520,59309,72789,97396,3736
2540,77100,41283,54241,2865
2540,51100,54387,82091,3841
2550,59309,63576,89054,4574
2570,77100,37418,54374,3221
2570,51100,53752,75671,3586
2570,94190,73003,90100,4669
2580,59309,57367,82197,4391
2590,80440,54292,61097,2779
2590,59309,62917,83387,3516
2590,51100,92137,116409,4587
2600,60740,47731,55973,3110
2600,77100,41123,51991,3201
2600,93302,67746,79077,3613
2610,80440,70842,83497,3286
2610,59309,65710,90057,3342
2610,51100,76500,101683,3955
2620,59309,49885,63044,3620
2630,59309,39092,59893,4168
2640,80440,58093,66166,3113
2640,59309,67695,92470,3658
2650,51100,42394,58902,2900
2650,77100,47133,61842,2992
2650,94190,83773,97568,4440
2670,80440,73634,105234,4184
2680,80440,62077,77307,3040
2680,59309,60921,83867,3097
2680,51100,86486,103862,3780
2690,80440,66306,77433,2934
2690,59309,62869,83993,2990
2690,51100,81758,103988,3674
2700,51100,70421,94475,3435
2700,80440,70450,104195,3756
2720,80440,71885,80604,3296
2720,59309,54368,87164,3352
2720,51100,84109,107159,4036
2760,59309,56125,72397,2612
2760,80440,59775,69684,2671
2760,51100,91997,109132,3806
2790,80440,60837,69050,3090
2790,59309,64288,88437,3250
2790,51100,85355,108432,3934
2800,51100,68339,86953,3156
2800,80440,75690,96673,3477
2800,59309,73603,103233,3534
2800,60740,83121,102158,5014
2810,77100,29278,44796,2025
2810,51100,61407,76502,3189
2810,94190,66842,80521,3473
2810,77000,72682,92534,3679
2820,51100,35457,51603,2468
2820,80440,111689,128160,4762
2830,59309,68214,95697,4863
2840,51100,44335,55620,2012
2840,77100,93351,147433,4744
2850,51100,36024,51264,2903
2850,77100,53157,74460,3681
2860,51100,38747,57240,2882
2860,80440,102759,123378,4740
2870,51100,56257,77953,3423
2870,80440,86886,102781,3986
2880,51100,51624,66755,3568
2880,77100,65192,98804,4252
3000,58642,50331,67817,2937
3000,63170,91353,124518,4711
3100,63170,75661,115220,4536
3110,63170,49239,66602,2818
3110,58642,94094,120547,5305
3120,63170,64895,104119,4857
3130,71100,90041,107582,4697
3140,63170,55819,73298,3466
3140,58642,84152,117795,5286
3150,63170,65987,88855,3882
3160,58642,46051,60229,2802
3160,18390,68191,86239,4396
3170,63170,73026,100633,4166
3190,18390,69953,92898,3432
3190,63170,88654,118336,4036
3200,63170,46533,62179,3393
3200,42480,97910,134670,5512
3210,58642,55262,74196,3562
3210,63170,84801,105224,4384
3220,58642,78048,103706,4431
3230,58642,55422,83796,3553
3230,71100,97970,124939,5280
3240,63170,72377,93798,3608
3250,63170,54274,97035,4533
3260,63170,57374,87061,3838
3270,63170,43767,64223,3089
3270,42480,91532,128509,5148
3290,58642,68884,97147,4202
3300,63170,52177,83610,4061
3310,63170,68273,93914,4761
3320,58642,35843,53051,2532
3320,18390,55603,67683,3507
3320,63170,108091,134414,5624
3330,63170,51297,65786,3167
3330,18390,107131,147991,5872
3340,58642,66497,88315,3671
3350,58642,54167,73243,3589
3350,18390,62072,73097,3803
